Date 	Day	Month	Year	Quarter	series 	OPEN 	HIGH 	LOW 	PREV. CLOSE 	ltp 	close 	vwap 	52W H 	52W L 	VOLUME 	VALUE 	No of trades 	Quarter22
19-03-2025 00:00	Wednesday	March	2025	Q1	EQ	3275	3326.6	3268.5	3270.7	3318	3319.55	3307.23	3963.5	3141	1616312	5345520793	88804	1
18-03-2025 00:00	Tuesday	March	2025	Q1	EQ	3194	3278.65	3189.3	3173.45	3271	3270.7	3248.31	3963.5	3141	2029984	6594015430	123494	1
17-03-2025 00:00	Monday	March	2025	Q1	EQ	3190	3240.05	3159	3187.3	3175.55	3173.45	3187.76	3963.5	3141	2805790	8944176882	122254	1
13-03-2025 00:00	Thursday	March	2025	Q1	EQ	3202.25	3233.15	3178.05	3193.65	3189	3187.3	3203.74	3963.5	3141	1414376	4531291302	83033	1
12-03-2025 00:00	Wednesday	March	2025	Q1	EQ	3205	3221.95	3153.05	3195.45	3190	3193.65	3180.42	3963.5	3141	1360149	4325851450	78130	1
11-03-2025 00:00	Tuesday	March	2025	Q1	EQ	3170.3	3204.4	3161.1	3177.7	3203.8	3195.45	3184.34	3963.5	3141	1274649	4058918930	81156	1
10-03-2025 00:00	Monday	March	2025	Q1	EQ	3246	3246.3	3169.05	3244.7	3177.8	3177.7	3201.45	3963.5	3141	1777752	5691390324	106319	1
07-03-2025 00:00	Friday	March	2025	Q1	EQ	3259.9	3289	3240.1	3259.9	3246	3244.7	3257.65	3963.5	3141	930240	3030394883	96014	1
06-03-2025 00:00	Thursday	March	2025	Q1	EQ	3250.1	3266.45	3215	3239.65	3258	3259.9	3247.81	3963.5	3141	1854837	6024166643	134338	1
05-03-2025 00:00	Wednesday	March	2025	Q1	EQ	3213	3245	3187.85	3213	3243	3239.65	3226.6	3963.5	3141	1945855	6278501228	134346	1
04-03-2025 00:00	Tuesday	March	2025	Q1	EQ	3171.05	3221	3167.8	3197.3	3211	3213	3203.15	3963.5	3141	1442098	4619256246	93358	1
03-03-2025 00:00	Monday	March	2025	Q1	EQ	3165.95	3227	3160	3163.85	3198.2	3197.3	3195.59	3963.5	3141	1352460	4321913463	132374	1
28-02-2025 00:00	Friday	February	2025	Q1	EQ	3199.8	3199.8	3141	3209.5	3170	3163.85	3168.5	3963.5	3141	2494680	7904404675	175923	1
27-02-2025 00:00	Thursday	February	2025	Q1	EQ	3238	3258.5	3184	3225.9	3210	3209.5	3209.83	3963.5	3175.05	2572065	8255891425	132651	1
25-02-2025 00:00	Tuesday	February	2025	Q1	EQ	3233	3248.95	3206.4	3257.7	3229	3225.9	3227.37	3963.5	3175.05	2529084	8162286346	133515	1
24-02-2025 00:00	Monday	February	2025	Q1	EQ	3289.7	3325.5	3250	3315.1	3251	3257.7	3289.89	3963.5	3175.05	1512844	4977086570	162651	1
21-02-2025 00:00	Friday	February	2025	Q1	EQ	3275.8	3324.9	3270.9	3275.8	3315.5	3315.1	3306.08	3963.5	3175.05	1706850	5642987961	113093	1
20-02-2025 00:00	Thursday	February	2025	Q1	EQ	3260.05	3285.45	3247.75	3275.9	3275.55	3275.8	3274.46	3963.5	3175.05	1236693	4049500999	93085	1
19-02-2025 00:00	Wednesday	February	2025	Q1	EQ	3220.15	3302.85	3211.6	3220.15	3268.95	3275.9	3269.6	3963.5	3175.05	1677978	5486325100	144994	1
18-02-2025 00:00	Tuesday	February	2025	Q1	EQ	3227	3241	3183	3221.85	3220	3220.15	3213.88	3963.5	3175.05	2428215	7803995073	107311	1
17-02-2025 00:00	Monday	February	2025	Q1	EQ	3213.55	3239.4	3194.55	3237.65	3222	3221.85	3217.09	3963.5	3175.05	1966689	6327017871	142527	1
14-02-2025 00:00	Friday	February	2025	Q1	EQ	3275.05	3285.8	3221.55	3263.65	3231.05	3237.65	3246.05	3963.5	3175.05	1378340	4474159815	125280	1
13-02-2025 00:00	Thursday	February	2025	Q1	EQ	3289.65	3314.9	3252.95	3289.65	3255	3263.65	3277.74	3963.5	3175.05	2127644	6973855847	156667	1
12-02-2025 00:00	Wednesday	February	2025	Q1	EQ	3259	3300	3222.25	3239.65	3292	3289.65	3268.46	3963.5	3175.05	1632415	5335487216	138219	1
11-02-2025 00:00	Tuesday	February	2025	Q1	EQ	3360.95	3361	3231	3328.65	3247	3239.65	3263.98	3963.5	3175.05	2593537	8465250359	145087	1
10-02-2025 00:00	Monday	February	2025	Q1	EQ	3347.8	3349	3294.05	3336.9	3324.3	3328.65	3315.61	3963.5	3175.05	1236663	4100291228	88934	1
07-02-2025 00:00	Friday	February	2025	Q1	EQ	3367	3369.95	3311.1	3352.75	3330	3336.9	3340.69	3963.5	3175.05	1722789	5755303413	137338	1
06-02-2025 00:00	Thursday	February	2025	Q1	EQ	3404	3404	3342.7	3383.2	3355.9	3352.75	3359.7	3963.5	3175.05	2874856	9658666091	166262	1
05-02-2025 00:00	Wednesday	February	2025	Q1	EQ	3444.65	3450.95	3379.45	3439.15	3386.45	3383.2	3415.32	3963.5	3175.05	2670316	9119976072	184191	1
04-02-2025 00:00	Tuesday	February	2025	Q1	EQ	3316	3449	3307.25	3289.2	3427.1	3439.15	3410.23	3963.5	3175.05	4742516	16173066528	305987	1
03-02-2025 00:00	Monday	February	2025	Q1	EQ	3420	3420	3270	3447.5	3285.95	3289.2	3300.78	3963.5	3175.05	6077580	20060746790	393333	1
01-02-2025 00:00	Saturday	February	2025	Q1	EQ	3578	3629.2	3402	3567.4	3458.25	3447.5	3473.36	3963.5	3175.05	4752505	16507148387	265997	1
31-01-2025 00:00	Friday	January	2025	Q1	EQ	3501.05	3590	3481.05	3420.95	3564	3567.4	3555.03	3963.5	3175.05	3995513	14204181890	217688	1
30-01-2025 00:00	Thursday	January	2025	Q1	EQ	3455	3517.8	3395	3449.7	3432.5	3420.95	3438.04	3963.5	3175.05	2717740	9343690878	180276	1
29-01-2025 00:00	Wednesday	January	2025	Q1	EQ	3431	3455	3412	3413.9	3448.9	3449.7	3437.37	3963.5	3175.05	1238704	4257884244	103001	1
28-01-2025 00:00	Tuesday	January	2025	Q1	EQ	3464.95	3482.15	3404.05	3457.65	3423.45	3413.9	3436.05	3963.5	3175.05	1657689	5695903565	154969	1
27-01-2025 00:00	Monday	January	2025	Q1	EQ	3447.2	3493.9	3401.15	3458.2	3472.9	3457.65	3446.21	3963.5	3175.05	1552938	5351754018	110592	1
24-01-2025 00:00	Friday	January	2025	Q1	EQ	3514.5	3521.1	3446.05	3503.25	3459.8	3458.2	3480.76	3963.5	3175.05	1206454	4199371221	91930	1
23-01-2025 00:00	Thursday	January	2025	Q1	EQ	3492	3527.8	3460.6	3518.2	3504.85	3503.25	3501.3	3963.5	3175.05	1993204	6978796103	126865	1
22-01-2025 00:00	Wednesday	January	2025	Q1	EQ	3563	3582.35	3490.1	3541.1	3520.8	3518.2	3521.51	3963.5	3175.05	1626055	5726173067	118201	1
21-01-2025 00:00	Tuesday	January	2025	Q1	EQ	3612.75	3643.3	3528.1	3593	3553	3541.1	3581.6	3963.5	3175.05	2576596	9228331774	177605	1
20-01-2025 00:00	Monday	January	2025	Q1	EQ	3574.9	3617.15	3556.5	3568.65	3588.9	3593	3585.81	3963.5	3175.05	1593334	5713398005	117677	1
17-01-2025 00:00	Friday	January	2025	Q1	EQ	3524	3579.85	3511.95	3507.9	3570.85	3568.65	3555.86	3963.5	3175.05	1600246	5690244162	126909	1
16-01-2025 00:00	Thursday	January	2025	Q1	EQ	3535	3543.45	3483.75	3501.4	3515	3507.9	3513.22	3963.5	3175.05	2305460	8099590396	152224	1
15-01-2025 00:00	Wednesday	January	2025	Q1	EQ	3471.3	3526.15	3471.3	3462.6	3505.7	3501.4	3500.92	3963.5	3175.05	1155446	4045128630	116492	1
14-01-2025 00:00	Tuesday	January	2025	Q1	EQ	3465.85	3491.95	3448.6	3464.3	3465	3462.6	3467.21	3963.5	3175.05	2924491	10139829761	176125	1
13-01-2025 00:00	Monday	January	2025	Q1	EQ	3505.55	3534.5	3448.6	3536.15	3470	3464.3	3492.05	3963.5	3175.05	2137212	7463255880	134759	1
10-01-2025 00:00	Friday	January	2025	Q1	EQ	3499.95	3552.2	3492.3	3527.9	3542	3536.15	3527.93	3963.5	3175.05	1794238	6329954565	113478	1
09-01-2025 00:00	Thursday	January	2025	Q1	EQ	3599.9	3606.3	3486	3596.35	3535	3527.9	3526.53	3963.5	3175.05	2921681	10303398615	231251	1
08-01-2025 00:00	Wednesday	January	2025	Q1	EQ	3662	3663.85	3590	3643.3	3596.5	3596.35	3612.93	3963.5	3175.05	1813201	6550964744	147106	1
07-01-2025 00:00	Tuesday	January	2025	Q1	EQ	3607.1	3649.85	3595.7	3603.2	3640.1	3643.3	3623.73	3963.5	3175.05	1453540	5267240240	110429	1
06-01-2025 00:00	Monday	January	2025	Q1	EQ	3684.75	3692.25	3585.5	3659.9	3607.15	3603.2	3626.01	3963.5	3175.05	1212012	4394771182	131815	1
03-01-2025 00:00	Friday	January	2025	Q1	EQ	3708	3719.9	3651.45	3713.5	3660	3659.9	3679.46	3963.5	3175.05	1290107	4746891680	104812	1
02-01-2025 00:00	Thursday	January	2025	Q1	EQ	3676.6	3724.1	3650.05	3667.5	3706.8	3713.5	3701.57	3963.5	3175.05	1882900	6969687400	119634	1
01-01-2025 00:00	Wednesday	January	2025	Q1	EQ	3600	3689	3599.95	3607.65	3670.1	3667.5	3660.22	3963.5	3175.05	1202029	4399695427	92010	1
31-12-2024 00:00	Tuesday	December	2024	Q4	EQ	3562.55	3620.6	3550	3578.95	3609.95	3607.65	3593.79	3963.5	3175.05	1267628	4555587429	98165	4
30-12-2024 00:00	Monday	December	2024	Q4	EQ	3607.9	3623	3566	3608.1	3590	3578.95	3590.43	3963.5	3175.05	1591690	5714856382	99927	4
27-12-2024 00:00	Friday	December	2024	Q4	EQ	3632.4	3643.65	3603.5	3629.5	3610.65	3608.1	3617.13	3963.5	3175.05	1309122	4735258789	75927	4
26-12-2024 00:00	Thursday	December	2024	Q4	EQ	3658	3665.15	3610.35	3639.75	3632.4	3629.5	3634.04	3963.5	3175.05	1124705	4087219624	80516	4
24-12-2024 00:00	Tuesday	December	2024	Q4	EQ	3647.95	3679	3632.4	3640.5	3633	3639.75	3651.5	3963.5	3175.05	627922	2292860072	71920	4
23-12-2024 00:00	Monday	December	2024	Q4	EQ	3670	3700	3617.05	3629.85	3642.9	3640.5	3644.9	3963.5	3175.05	1217612	4438075174	107539	4
20-12-2024 00:00	Friday	December	2024	Q4	EQ	3716.35	3725	3607.1	3716.35	3629	3629.85	3654.85	3963.5	3175.05	2796593	10221132562	154712	4
19-12-2024 00:00	Thursday	December	2024	Q4	EQ	3702.15	3762.2	3700	3758.15	3713.15	3716.35	3724.67	3963.5	3175.05	1856838	6916114961	142412	4
18-12-2024 00:00	Wednesday	December	2024	Q4	EQ	3807.2	3819	3745	3807.2	3760.4	3758.15	3763.15	3963.5	3175.05	1318341	4961115143	120658	4
17-12-2024 00:00	Tuesday	December	2024	Q4	EQ	3863.05	3875.4	3797	3877.85	3802.95	3807.2	3818.67	3963.5	3175.05	1690180	6454242086	116461	4
16-12-2024 00:00	Monday	December	2024	Q4	EQ	3882	3914.4	3857.25	3887	3872.3	3877.85	3877.81	3963.5	3175.05	918660	3562389173	81821	4
13-12-2024 00:00	Friday	December	2024	Q4	EQ	3859	3898	3794.2	3859.9	3889.25	3887	3852.29	3963.5	3175.05	2300361	8861656007	166323	4
12-12-2024 00:00	Thursday	December	2024	Q4	EQ	3930	3959	3846.95	3916.75	3863.2	3859.9	3867.89	3963.5	3175.05	1899867	7348471534	169801	4
11-12-2024 00:00	Wednesday	December	2024	Q4	EQ	3923.15	3947.65	3902	3923.15	3913.15	3916.75	3920.3	3963.5	3175.05	1237958	4853162176	133277	4
10-12-2024 00:00	Tuesday	December	2024	Q4	EQ	3955	3963.5	3901.3	3947.3	3922.95	3923.15	3927.94	3963.5	3175.05	2349493	9228665090	131218	4
09-12-2024 00:00	Monday	December	2024	Q4	EQ	3867.5	3959	3867.5	3866.7	3954.75	3947.3	3938.78	3959	3175.05	3332753	13126969162	214643	4
06-12-2024 00:00	Friday	December	2024	Q4	EQ	3832	3883.95	3800	3831.55	3861.2	3866.7	3856.47	3919.9	3175.05	1856562	7159770118	147414	4
05-12-2024 00:00	Thursday	December	2024	Q4	EQ	3810	3884	3760	3789.9	3828	3831.55	3824.55	3919.9	3175.05	2765170	10575533573	211606	4
04-12-2024 00:00	Wednesday	December	2024	Q4	EQ	3775	3835	3758.05	3787.05	3805	3789.9	3799.1	3919.9	3175.05	2510166	9536368353	178083	4
03-12-2024 00:00	Tuesday	December	2024	Q4	EQ	3721	3798.85	3701.5	3704.05	3773	3787.05	3761.27	3919.9	3175.05	3252670	12234160549	285639	4
